geonameid,asciiname,countrycode,latitude,longitude,feature code,population
3040051,les Escaldes,AD,42.50729,1.53414,PPLA,15853
3041563,Andorra la Vella,AD,42.50779,1.52109,PPLC,20430
290594,Umm Al Quwain City,AE,25.56473,55.55517,PPLA,62747
291074,Ras Al Khaimah City,AE,25.78953,55.9432,PPLA,351943
291580,Zayed City,AE,23.65416,53.70522,PPL,63482
291696,Khawr Fakkan,AE,25.33132,56.34199,PPL,40677
292223,Dubai,AE,25.07725,55.30927,PPLA,2956587
292231,Dibba Al-Fujairah,AE,25.59246,56.26176,PPL,30000
292239,Dibba Al-Hisn,AE,25.61955,56.27291,PPL,26395
292672,Sharjah,AE,25.33737,55.41206,PPLA,1324473
292688,Ar Ruways,AE,24.11028,52.73056,PPL,16000
292878,Al Fujairah City,AE,25.11641,56.34141,PPLA,86512
292913,Al Ain City,AE,24.19167,55.76056,PPL,55091
292932,Ajman City,AE,25.40177,55.47878,PPLA,490035
292953,Adh Dhayd,AE,25.28812,55.88157,PPL,24716
292968,Abu Dhabi,AE,24.45118,54.39696,PPLC,603492
8057551,Khalifah A City,AE,24.42588,54.605,PPL,85374
12042052,Bani Yas City,AE,24.30978,54.62944,PPL,80498
12042053,Musaffah,AE,24.35893,54.48267,PPL,243341
12047416,Al Shamkhah City,AE,24.39268,54.70779,PPL,61710
12047417,Reef Al Fujairah City,AE,25.14479,56.24764,PPL,82310
1120985,Zaranj,AF,30.95962,61.86037,PPLA,49851
1121381,Bazar-e Yakawlang,AF,34.73525,66.97379,PPLW,65000
1123004,Taloqan,AF,36.73605,69.53451,PPLA,64256
1125155,Shindand,AF,33.30294,62.1474,PPLA2,29264
1125444,Shibirghan,AF,36.66757,65.7529,PPLA,55641
1125896,Shahrak,AF,34.10737,64.3052,PPLA2,15967
1127110,Sar-e Pul,AF,36.21544,65.93249,PPLA,52121
1127628,Sang-e Charak,AF,35.84972,66.43694,PPL,15377
1127768,Aibak,AF,36.26468,68.01551,PPLA,47823
1128265,Rustaq,AF,37.12604,69.83045,PPLA2,25636
1129516,Qarqin,AF,37.41853,66.04358,PPLA2,15018
1129648,Qarawul,AF,37.21959,68.7802,PPL,24544
1130490,Pul-e Khumri,AF,35.94458,68.71512,PPLA,56369
1131316,Paghman,AF,34.58787,68.95091,PPL,49157
1132495,Nahrin,AF,36.0649,69.13343,PPLA2,22363
1133453,Maymana,AF,35.92139,64.78361,PPLA,75900
1133574,Mehtar Lam,AF,34.67139,70.20944,PPLA,17345
1133616,Mazar-e Sharif,AF,36.70904,67.11087,PPLA,303282
1134720,Lashkar Gah,AF,31.59382,64.37161,PPLA,43934
1135158,Kushk,AF,33.29565,61.95221,PPL,16952
1135689,Kunduz,AF,36.72895,68.857,PPLA,161902
1136469,Khost,AF,33.33951,69.92041,PPLA,96123
1136575,Khulm,AF,36.69736,67.69826,PPLA2,64933
1136863,Khash,AF,31.52919,62.79055,PPL,15133
1137168,Khanabad,AF,36.68304,69.11279,PPLA2,71531
1137807,Karukh,AF,34.48108,62.5863,PPLA2,17484
1138336,Kandahar,AF,31.61332,65.71013,PPLA,391190
1138958,Kabul,AF,34.52813,69.17233,PPLC,3043532
1139715,Jalalabad,AF,34.42647,70.45153,PPLA,200331
1139807,Jabal os Saraj,AF,35.11833,69.23778,PPL,15032
1140026,Herat,AF,34.34817,62.19967,PPLA,272806
1141089,Ghormach,AF,35.73062,63.78264,PPLA2,30000
1141269,Ghazni,AF,33.55391,68.42096,PPLA,141000
1141540,Gereshk,AF,31.82089,64.57005,PPLA2,43588
1141857,Gardez,AF,33.59744,69.22592,PPLA,103601
1142170,Fayzabad,AF,37.11664,70.58002,PPLA,44421
1142264,Farah,AF,32.37451,62.11638,PPLA,43561
1142404,Kafir Qala,AF,34.66667,61.06667,PPL,18086
1145352,Charikar,AF,35.01361,69.17139,PPLA,53676
1147066,Baraki Barak,AF,33.96744,68.9492,PPLA2,22305
1147242,Bamyan,AF,34.82156,67.82734,PPLA,61863
1147290,Balkh,AF,36.75635,66.8972,PPLA2,114883
1147540,Baghlan,AF,36.13068,68.70829,PPLA2,108449
1148106,Art Khwajah,AF,37.08571,69.47958,PPL,18623
1148205,Asmar,AF,35.03333,71.35809,PPLA2,15708
1148311,Asadabad,AF,34.87311,71.14697,PPLA,48400
1148658,Andkhoy,AF,36.95293,65.12376,PPLA2,29208
1429434,Bazarak,AF,35.31292,69.51519,PPLA,65000
1469706,Markaz-e Woluswali-ye Achin,AF,34.12583,70.70778,PPL,15098
3576022,Saint John's,AG,17.12096,-61.84329,PPLC,24226
3573374,The Valley,AI,18.21704,-63.05783,PPLC,2035
363243,Sarande,AL,39.87534,20.00477,PPLA2,15147
781988,Pogradec,AL,40.9025,20.6525,PPLA2,61530
782661,Kukes,AL,42.07694,20.42194,PPLA,17832
782756,Korce,AL,40.61861,20.78083,PPLA,58259
783148,Gjirokaster,AL,40.07583,20.13889,PPLA,23437
783263,Elbasan,AL,41.1125,20.08222,PPLA,100903
783493,Burrel,AL,41.61028,20.00889,PPLA2,15405
3183719,Vlore,AL,40.4686,19.48318,PPLA,89546
3183875,Tirana,AL,41.3275,19.81889,PPLC,374801
3184081,Shkoder,AL,42.06828,19.51258,PPLA,88245
3184517,Patos Fshat,AL,40.64278,19.65083,PPL,22679
3184518,Patos,AL,40.68333,19.61944,PPLA3,60000
3184862,Lushnje,AL,40.94194,19.705,PPLA2,41469
3184935,Lezhe,AL,41.78361,19.64361,PPLA,18695
3185012,Lac,AL,41.63556,19.71306,PPLA2,24825
3185060,Kucove,AL,40.80028,19.91667,PPLA2,18166
3185082,Kruje,AL,41.50917,19.79278,PPLA2,21286
3185211,Kavaje,AL,41.18556,19.55694,PPLA2,29354
3185670,Fier-Cifci,AL,40.71667,19.56667,PPLX,60995
3185672,Fier,AL,40.72389,19.55611,PPLA,56297
3185728,Durres,AL,41.32355,19.45469,PPLA,122034
3186084,Berat,AL,40.70583,19.95222,PPLA,46866
174875,Kapan,AM,39.20755,46.40576,PPLA,33160
174895,Goris,AM,39.51111,46.34168,PPL,20379
174972,Hats'avan,AM,39.46405,45.97047,PPL,15208
174979,Artashat,AM,39.96144,44.54447,PPLA,20562
174991,Ararat,AM,39.83069,44.70569,PPL,28832
616052,Yerevan,AM,40.18111,44.51361,PPLC,1093485
616062,Vagharshapat,AM,40.16557,44.29462,PPL,46540
616194,Stepanavan,AM,41.00995,44.38531,PPL,23782
616199,Spitak,AM,40.83221,44.26731,PPL,15059
616250,Sevan,AM,40.5473,44.94171,PPL,17083
616435,Masis,AM,40.06572,44.41913,PPL,18911
616530,Vanadzor,AM,40.80456,44.4939,PPLA,101098
616599,Gavar,AM,40.35398,45.12386,PPLA,21680
616629,Hrazdan,AM,40.49748,44.7662,PPLA,40795
616631,Armavir,AM,40.15446,44.03815,PPLA,25963
616635,Gyumri,AM,40.7942,43.84528,PPLA,148381
616877,Ashtarak,AM,40.2991,44.36204,PPLA,18779
617026,Abovyan,AM,40.27368,44.63348,PPL,35673
145531,Saurimo,AO,-9.66078,20.39155,PPLA,40498
145724,Lucapa,AO,-8.41915,20.74466,PPL,20115
876177,Luau,AO,-10.70727,22.22466,PPL,18465
2236568,Uige,AO,-7.60874,15.06131,PPLA,60008
2236967,Soio,AO,-6.1349,12.36894,PPL,67491
2239001,N'zeto,AO,-7.23116,12.8666,PPL,18352
2239076,N'dalatando,AO,-9.29782,14.91162,PPLA,383100
